source_family_bonus,redundancy_penalty,max_per_source_family,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,mean_selected_evidence,mean_visited_evidence,mean_visited_nodes,mean_visited_edges,timeout_count,pareto_optimal,quality_constraint_passed
0.08,0.24,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7731,1.36276,13.15,3.65,13.3,0.0,0.0,0,False,True
0.08,0.24,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.81285,1.5195949999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.08,0.32,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.73165,1.3968200000000002,13.15,3.425,13.3,0.0,0.0,0,False,False
0.08,0.32,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.4705882352941178,0.0,0.7963,1.4584849999999996,13.15,3.65,13.3,0.0,0.0,0,False,True
0.08,0.32,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.4705882352941178,0.0,0.82555,1.5969749999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.12,0.08,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7052,1.332005,13.15,3.425,13.3,0.0,0.0,0,False,False
0.12,0.08,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7792,1.455055,13.15,3.65,13.3,0.0,0.0,0,False,True
0.12,0.08,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8049,1.57324,13.15,3.7,13.3,0.0,0.0,0,False,True
0.12,0.16,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.6939,1.2291999999999998,13.15,3.425,13.3,0.0,0.0,0,False,False
0.12,0.16,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.8117000000000001,1.5653549999999998,13.15,3.65,13.3,0.0,0.0,0,False,True
